Light Intensity (% of scale max) Run #1,Position (m) Run #1,Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #3,Position (m) Run #3,Light Intensity (% of scale max) Run #4,Position (m) Run #4,Light Intensity (% of scale max) Run #5,Position (m) Run #5
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,0,0.4,0,0.5,0,0.5,0,0.4,0
0.4,3.75E-05,0.4,0,0.5,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.5,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,3.75E-05,0.4,0,0.4,0,0.4,0,0.4,0
0.4,0,0.4,3.75E-05,0.4,0,0.4,0,0.4,0
0.4,0,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,0,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,0,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,7.50E-05,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,1.13E-04,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,1.50E-04,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,1.88E-04,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,6.00E-04,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,0.0015,0.4,0,0.4,0,0.4,0
0.4,-3.75E-05,0.4,0.0016,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0.0017,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0.0022,0.4,0,0.4,0,0.4,0
0.4,0,0.4,0.003,0.4,3.75E-05,0.4,0,0.4,0
0.4,0,0.4,0.0039,0.4,3.75E-05,0.4,0,0.4,0
0.4,0,0.4,0.0047,0.4,3.75E-05,0.4,0,0.4,0
0.4,0,0.4,0.0047,0.4,3.75E-05,0.4,0,0.4,0
0.4,0,0.4,0.0052,0.4,3.75E-05,0.4,0,0.4,3.75E-05
0.4,0,0.4,0.0053,0.4,3.75E-05,0.4,0,0.4,3.75E-05
0.4,7.50E-05,0.4,0.0057,0.4,3.75E-05,0.4,0,0.4,3.75E-05
0.4,7.50E-05,0.4,0.006,0.4,7.50E-05,0.4,0,0.4,3.75E-05
0.4,7.50E-05,0.4,0.0063,0.4,7.50E-05,0.4,0,0.4,3.75E-05
0.4,7.50E-05,0.4,0.0063,0.4,7.50E-05,0.4,0,0.4,3.75E-05
0.4,1.13E-04,0.4,0.0063,0.4,1.13E-04,0.4,0,0.4,3.75E-05
0.4,6.75E-04,0.4,0.0065,0.4,1.13E-04,0.4,0,0.4,1.13E-04
0.4,7.50E-04,0.4,0.0066,0.4,1.13E-04,0.4,0,0.4,1.13E-04
0.4,7.50E-04,0.4,0.007,0.4,1.50E-04,0.4,0,0.4,1.13E-04
0.4,7.50E-04,0.4,0.0076,0.4,1.50E-04,0.4,0,0.4,1.13E-04
