Light Intensity (% of scale max) Run #10,Position (m) Run #10
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,0
0.4,3.75E-05
0.4,3.00E-04
0.4,3.00E-04
0.4,3.00E-04
0.4,3.00E-04
0.4,3.00E-04
0.4,5.63E-04
0.4,7.50E-04
0.4,0.0012
0.4,0.0012
0.4,0.0012
0.4,0.0013
0.4,0.0017
0.4,0.0025
0.4,0.0037
0.4,0.0038
0.4,0.0038
0.4,0.0038
0.4,0.004
0.4,0.0045
0.4,0.0047
0.4,0.0047
0.4,0.0047
0.4,0.0047
0.4,0.0049
0.4,0.005
0.4,0.0051
0.4,0.0052
0.4,0.0053
0.4,0.0056
0.4,0.0058
0.4,0.0076
0.4,0.0087
0.4,0.0087
0.4,0.0087
0.4,0.0087
0.4,0.0088
0.4,0.0092
0.4,0.0099
0.4,0.0102
0.4,0.0109
0.4,0.011
0.4,0.0112
0.4,0.0114
0.4,0.0117
0.4,0.0122
0.4,0.0127
0.4,0.013
0.4,0.0135
0.4,0.0138
0.4,0.0141
0.4,0.0147
0.4,0.0148
0.4,0.0151
0.4,0.0154
0.4,0.0155
0.4,0.0156
0.4,0.0158
0.4,0.0161
0.4,0.0168
0.4,0.0175
0.4,0.0177
0.4,0.0179
0.4,0.0179
0.4,0.0181
0.4,0.0183
0.4,0.0183
0.4,0.0183
0.4,0.0184
0.4,0.0186
0.4,0.0186
0.4,0.0186
0.4,0.0186
0.4,0.0187
0.4,0.019
0.4,0.019
0.4,0.0192
0.4,0.0198
0.4,0.0207
0.4,0.0215
0.4,0.0218
0.4,0.0223
0.4,0.0227
0.4,0.0231
0.4,0.0231
0.4,0.0232
