Light Intensity (% of scale max) Run #2,Position (m) Run #2,Light Intensity (% of scale max) Run #6,Position (m) Run #6,Light Intensity (% of scale max) Run #7,Position (m) Run #7,Light Intensity (% of scale max) Run #8,Position (m) Run #8,Light Intensity (% of scale max) Run #9,Position (m) Run #9
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,0,0.3,0,0.3,0
0.4,0,0.4,0,0.4,0,0.3,0,0.3,0
0.4,0,0.4,0,0.4,0,0.3,0,0.3,0
0.4,0,0.4,0,0.4,0,0.4,0,0.3,0
0.4,0,0.4,0,0.4,3.75E-05,0.3,0,0.3,0
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,0
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,0
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,3.75E-05
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,3.75E-05
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,3.75E-05
0.4,0,0.4,0,0.4,3.75E-05,0.4,0,0.3,7.50E-05
0.4,3.75E-05,0.4,0,0.4,3.75E-05,0.4,0,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,3.75E-05,0.4,0,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,3.75E-05,0.4,0,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,3.75E-05,0.4,0,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,3.75E-05,0.3,0,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,3.75E-05,0.3,7.50E-05,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,7.50E-05,0.3,7.50E-05,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,7.50E-05,0.3,7.50E-05,0.3,7.50E-05
0.4,7.50E-05,0.4,0,0.4,7.50E-05,0.3,7.50E-05,0.3,7.50E-05
0.4,1.13E-04,0.4,0,0.4,7.50E-05,0.3,7.50E-05,0.3,1.13E-04
0.4,1.50E-04,0.4,0,0.4,7.50E-05,0.3,1.13E-04,0.3,1.13E-04
0.4,1.88E-04,0.4,0,0.4,7.50E-05,0.3,2.63E-04,0.3,1.13E-04
0.4,6.00E-04,0.4,0,0.4,7.50E-05,0.3,8.63E-04,0.3,1.13E-04
0.4,0.0015,0.4,0,0.4,1.13E-04,0.3,0.0015,0.3,1.13E-04
0.4,0.0016,0.4,3.75E-05,0.4,2.63E-04,0.3,0.0015,0.3,1.13E-04
0.4,0.0017,0.4,3.75E-05,0.4,2.63E-04,0.3,0.0016,0.3,1.13E-04
0.4,0.0022,0.4,3.75E-05,0.4,2.63E-04,0.3,0.0017,0.3,2.63E-04
0.4,0.003,0.4,7.50E-05,0.4,2.63E-04,0.3,0.0021,0.3,9.00E-04
0.4,0.0039,0.4,7.50E-05,0.4,2.63E-04,0.3,0.0023,0.3,9.75E-04
0.4,0.0047,0.4,7.50E-05,0.4,9.75E-04,0.3,0.0024,0.3,0.0016
0.4,0.0047,0.4,7.50E-05,0.4,0.001,0.3,0.0029,0.3,0.0019
0.4,0.0052,0.4,1.13E-04,0.4,0.001,0.3,0.0033,0.3,0.003
0.4,0.0053,0.4,1.13E-04,0.4,0.001,0.3,0.0035,0.3,0.0033
0.4,0.0057,0.4,1.13E-04,0.4,0.0013,0.3,0.0038,0.3,0.0041
0.4,0.006,0.4,1.13E-04,0.4,0.0027,0.3,0.004,0.3,0.0045
0.4,0.0063,0.4,8.63E-04,0.4,0.0038,0.3,0.0047,0.3,0.0047
0.4,0.0063,0.4,0.0011,0.4,0.0051,0.3,0.0051,0.3,0.0053
0.4,0.0063,0.4,0.0021,0.4,0.0051,0.3,0.0052,0.3,0.0054
0.4,0.0065,0.4,0.0024,0.4,0.0053,0.3,0.0055,0.3,0.0057
0.4,0.0066,0.4,0.003,0.4,0.0053,0.3,0.0058,0.3,0.0063
0.4,0.007,0.4,0.004,0.4,0.0053,0.3,0.0065,0.3,0.0065
0.4,0.0076,0.4,0.0048,0.4,0.0057,0.3,0.0069,0.3,0.0069
0.4,0.0088,0.4,0.005,0.4,0.0058,0.3,0.0071,0.3,0.0074
0.4,0.0095,0.4,0.0053,0.4,0.0063,0.3,0.0078,0.3,0.0083
0.4,0.0096,0.4,0.006,0.4,0.0063,0.3,0.008,0.3,0.0085
0.4,0.0102,0.4,0.007,0.4,0.0063,0.3,0.0087,0.3,0.0089
0.4,0.0108,0.4,0.0079,0.4,0.0069,0.3,0.0091,0.3,0.009
0.4,0.0112,0.4,0.0079,0.4,0.0073,0.3,0.0103,0.3,0.0102
0.4,0.0114,0.4,0.0079,0.4,0.009,0.3,0.0109,0.3,0.0108
0.4,0.0114,0.4,0.0081,0.4,0.0093,0.3,0.0114,0.2,0.0116
0.4,0.012,0.4,0.0083,0.4,0.0102,0.3,0.0117,0.2,0.0121
